--------------------2019-09-15 0:04:44----------------
--------------------2019-09-15 0:09:44----------------
--------------------2019-09-15 15:29:56----------------
4004 : 1
1011 : 43
4017 : 1
1018 : 1
81 : 1
205 : 3
3018 : 1
3010 : 2
1010 : 29
4633 : 4
1006 : 2
3019 : 4
4629 : 2
1000 : 1
3013 : 178
3011 : 9
3014 : 1
1001 : 1
1032 : 3
82 : 1
3202 : 1
--------------------2019-09-15 15:34:56----------------
4004 : 1
4012 : 1
1011 : 50
4017 : 2
1018 : 2
81 : 5
205 : 7
3018 : 34
1010 : 19
4633 : 2
1003 : 21
1006 : 26
3019 : 52
4629 : 11
1000 : 6
1009 : 1
3017 : 2
3013 : 221
3011 : 72
3014 : 298
1001 : 2
82 : 1
3202 : 1
--------------------2019-09-15 15:39:56----------------
81 : 6
205 : 6
3018 : 30
3010 : 12
4633 : 1
1003 : 13
1006 : 13
3030 : 10
1000 : 7
1009 : 1
3017 : 30
3013 : 169
3011 : 31
3014 : 276
--------------------2019-09-15 15:44:56----------------
1011 : 12
205 : 6
3010 : 4
1010 : 9
4633 : 1
1006 : 9
3030 : 2
4629 : 2
1014 : 9
1046 : 6
3017 : 122
3013 : 251
3011 : 49
3014 : 230
--------------------2019-09-15 15:49:56----------------
4031 : 1
1011 : 11
4017 : 1
1018 : 1
81 : 1
205 : 5
3010 : 10
1010 : 12
4633 : 1
1006 : 7
3030 : 4
4629 : 3
3017 : 85
3013 : 219
3011 : 49
3014 : 155
--------------------2019-09-15 15:54:56----------------
4004 : 1
4012 : 1
1011 : 29
4017 : 1
1018 : 1
81 : 1
205 : 3
3010 : 5
1010 : 32
4633 : 3
1003 : 7
1006 : 16
3030 : 3
1000 : 1
3017 : 81
3013 : 117
3011 : 21
3014 : 119
1001 : 4
82 : 1
3202 : 1
--------------------2019-09-15 15:59:56----------------
1011 : 45
81 : 3
205 : 4
3018 : 14
3010 : 5
1010 : 47
4633 : 2
1003 : 3
1006 : 24
3030 : 4
4629 : 6
1014 : 4
1000 : 2
3017 : 21
3013 : 198
4634 : 12
3011 : 25
3014 : 115
1001 : 1
--------------------2019-09-15 16:04:56----------------
4004 : 1
4012 : 2
1011 : 16
4017 : 2
1018 : 2
81 : 5
205 : 7
3018 : 2
3010 : 10
1010 : 16
4633 : 3
1003 : 24
1006 : 27
3030 : 2
4629 : 7
1014 : 8
1000 : 2
1009 : 2
4464 : 1
3017 : 125
3013 : 459
3011 : 36
3014 : 38
--------------------2019-09-15 16:09:56----------------
4416 : 6
1011 : 18
1019 : 2
1020 : 5
4414 : 5
4415 : 1
81 : 5
205 : 5
3010 : 4
1010 : 16
4633 : 2
1003 : 11
1006 : 43
3030 : 2
4629 : 3
4412 : 1
1000 : 14
3017 : 306
3013 : 208
3011 : 11
1060 : 1
--------------------2019-09-15 16:14:56----------------
1011 : 31
81 : 1
205 : 5
3010 : 7
1010 : 21
4633 : 3
1006 : 44
3030 : 4
4629 : 1
1014 : 5
3017 : 243
3013 : 170
4634 : 27
3011 : 11
--------------------2019-09-15 16:19:56----------------
545 : 2
1011 : 85
81 : 3
205 : 4
3010 : 2
1010 : 59
4633 : 5
1003 : 8
1006 : 57
3030 : 20
4629 : 24
1031 : 6
1014 : 31
1046 : 3
1000 : 5
3017 : 95
3013 : 336
4634 : 16
3011 : 13
1032 : 4
82 : 1
3202 : 1
--------------------2019-09-15 16:24:56----------------
1015 : 1
1011 : 36
205 : 7
3010 : 14
1010 : 32
4633 : 2
1003 : 1
1006 : 41
3030 : 3
4629 : 42
1014 : 2
1000 : 3
3017 : 239
3013 : 408
4634 : 1
3011 : 30
1001 : 6
--------------------2019-09-15 16:29:56----------------
4004 : 1
4012 : 1
1011 : 3
4017 : 2
1018 : 2
81 : 2
205 : 11
3010 : 17
1010 : 9
4633 : 3
1003 : 4
1006 : 18
3030 : 3
4629 : 12
1009 : 1
3017 : 248
3013 : 698
3011 : 40
3014 : 71
1001 : 2
--------------------2019-09-15 16:34:56----------------
4017 : 2
1018 : 2
81 : 4
205 : 11
3010 : 5
1003 : 14
1006 : 155
3030 : 15
4629 : 7
1000 : 9
1009 : 2
4464 : 3
3017 : 278
3013 : 563
3011 : 49
3014 : 260
1001 : 29
--------------------2019-09-15 16:39:56----------------
1011 : 21
81 : 3
205 : 7
3010 : 7
1010 : 23
4633 : 3
1003 : 4
1006 : 112
3030 : 2
4629 : 5
1014 : 10
1000 : 3
3017 : 243
3013 : 345
4634 : 24
3011 : 36
3014 : 41
1001 : 104
--------------------2019-09-15 16:44:56----------------
1015 : 2
1011 : 25
4017 : 1
1018 : 1
81 : 3
205 : 8
3010 : 10
1010 : 12
4633 : 3
1006 : 32
1014 : 5
1009 : 1
3017 : 289
3013 : 357
3011 : 22
1001 : 7
--------------------2019-09-15 16:49:56----------------
4416 : 5
545 : 1
1011 : 2
1019 : 1
4414 : 2
4415 : 2
205 : 10
3010 : 54
1010 : 2
1003 : 24
1006 : 26
4629 : 8
4412 : 1
4413 : 1
3017 : 338
3013 : 668
1021 : 3
3011 : 58
3014 : 20
1001 : 11
--------------------2019-09-15 16:54:56----------------
4004 : 1
4031 : 1
4012 : 1
4416 : 2
1011 : 3
4017 : 2
1018 : 2
81 : 4
205 : 10
3018 : 3
3010 : 29
1010 : 3
4633 : 2
1003 : 58
1006 : 39
1000 : 5
3017 : 313
3013 : 389
4634 : 2
3011 : 50
3014 : 241
1001 : 50
--------------------2019-09-15 16:59:56----------------
1004 : 1
4416 : 1
1011 : 39
1012 : 1
1013 : 1
205 : 13
3018 : 46
3010 : 3
1010 : 56
4633 : 5
1003 : 38
1006 : 103
