--------------------2019-07-21 0:03:45----------------
--------------------2019/7/21 0:08:45----------------
--------------------2019/7/21 0:13:45----------------
--------------------2019/7/21 0:18:46----------------
--------------------2019/7/21 0:23:46----------------
--------------------2019/7/21 10:08:53----------------
--------------------2019/7/21 10:13:53----------------
--------------------2019/7/21 10:18:53----------------
4003 : 1
4004 : 1
4010 : 1
4041 : 1
4017 : 1
658 : 1
2953 : 1
1281 : 1
545 : 1
888 : 1
889 : 1
4230 : 1
4501 : 1
4500 : 1
4613 : 1
4615 : 1
4612 : 1
4628 : 1
4430 : 1
4431 : 1
4432 : 1
4636 : 1
1202 : 4
51 : 1
50 : 1
42 : 1
708 : 10
54 : 5
56 : 20
52 : 4
46 : 1
2820 : 1
960 : 5
3324 : 2
1264 : 1
3554 : 1
100 : 16
2821 : 6
10 : 208
201 : 4
629 : 124
11 : 527
30 : 127
31 : 62
14 : 90
53 : 119
635 : 1
622 : 5
44 : 55
34 : 5
643 : 19
200 : 7
621 : 1
610 : 26
32 : 16
4469 : 5
641 : 9
636 : 5
638 : 21
611 : 6
211 : 1
633 : 9
634 : 9
801 : 5
807 : 11
897 : 1
656 : 1
899 : 1
898 : 1
900 : 4
902 : 1
904 : 1
13 : 20
657 : 8
17 : 19
630 : 2
3555 : 7
915 : 55
916 : 4
903 : 1
923 : 1
919 : 1
202 : 7
3322 : 3
922 : 33
--------------------2019/7/21 10:23:53----------------
708 : 20
54 : 2
52 : 5
960 : 4
100 : 13
10 : 408
629 : 266
11 : 1351
30 : 265
31 : 449
14 : 536
53 : 525
622 : 2
44 : 192
34 : 38
200 : 2
610 : 111
32 : 67
641 : 18
636 : 18
638 : 171
611 : 32
633 : 20
634 : 20
801 : 18
807 : 10
656 : 2
13 : 95
657 : 37
17 : 114
630 : 8
3555 : 17
915 : 192
916 : 6
923 : 152
919 : 150
925 : 2
922 : 142
639 : 5
--------------------2019/7/21 10:28:53----------------
708 : 14
54 : 6
52 : 4
960 : 2
100 : 8
10 : 279
629 : 280
11 : 1270
30 : 194
31 : 247
14 : 315
53 : 344
622 : 5
44 : 92
34 : 26
200 : 5
610 : 148
32 : 11
641 : 8
636 : 8
638 : 110
611 : 63
633 : 14
634 : 14
801 : 8
807 : 17
656 : 1
13 : 71
657 : 33
17 : 76
630 : 10
3555 : 18
915 : 92
916 : 3
923 : 51
919 : 51
925 : 1
922 : 84
213 : 1
--------------------2019/7/21 10:33:53----------------
708 : 8
54 : 2
56 : 19
52 : 6
960 : 4
3324 : 1
100 : 19
2821 : 5
10 : 858
629 : 329
11 : 5287
30 : 675
31 : 685
14 : 1569
53 : 605
635 : 5
622 : 9
44 : 150
34 : 29
643 : 4
200 : 5
610 : 188
32 : 81
641 : 6
636 : 6
638 : 152
640 : 5
611 : 78
20 : 17
653 : 2
633 : 8
634 : 8
801 : 8
807 : 8
897 : 1
656 : 1
899 : 1
898 : 1
900 : 2
902 : 1
904 : 1
13 : 63
657 : 50
17 : 84
642 : 2
630 : 10
3555 : 22
915 : 122
916 : 6
903 : 1
923 : 107
919 : 103
22 : 310
918 : 1
896 : 1
925 : 3
922 : 98
906 : 1
804 : 58
805 : 50
213 : 1
--------------------2019/7/21 10:38:53----------------
1202 : 5
52 : 4
960 : 5
100 : 23
10 : 292
201 : 2
629 : 238
11 : 3426
30 : 397
31 : 1297
14 : 3088
53 : 831
635 : 10
622 : 25
44 : 160
34 : 70
200 : 17
610 : 458
32 : 47
600 : 3
638 : 275
640 : 8
611 : 333
20 : 30
653 : 1
656 : 2
13 : 88
657 : 83
17 : 171
642 : 1
630 : 6
3555 : 28
915 : 160
916 : 7
923 : 249
919 : 244
22 : 991
925 : 3
922 : 164
804 : 33
805 : 33
--------------------2019/7/21 10:43:53----------------
1202 : 1
708 : 31
54 : 7
56 : 19
52 : 4
960 : 3
100 : 12
2821 : 2
10 : 632
629 : 262
11 : 1215
30 : 224
31 : 661
14 : 785
53 : 671
635 : 2
622 : 3
44 : 118
34 : 48
643 : 6
200 : 1
610 : 232
32 : 11
641 : 18
636 : 17
638 : 196
611 : 174
20 : 11
815 : 1
653 : 1
633 : 31
634 : 31
801 : 19
807 : 17
900 : 2
13 : 23
657 : 35
17 : 121
630 : 9
3555 : 16
